,Date,Leg,Home,Away,Result
0,16.08.1952,DFB-Pokal 1952/1953 » 1. Runde,VfB Stuttgart,Kickers Offenbach,0:3 (0:1) 
0,16.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Rot-Weiss Essen,SSV Jahn Regensburg,5:0 (0:0) 
0,16.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Eintracht Osnabrück,Preußen Dellbrück,1:2 (1:1) 
0,16.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Hamburger SV,Victoria Hamburg,6:1 (2:1) 
0,16.08.1952,DFB-Pokal 1952/1953 » 1. Runde,SF Hamborn 07,SC Göttingen 05,"4:1 (1:1, 1:1) n.V."
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Waldhof Mannheim,Eintracht Braunschweig,2:1 (1:1) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,1. FC Saarbrücken,FC St. Pauli,1:2 (1:0) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Borussia Neunkirchen,FC Schalke 04,2:1 (0:0) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,SpVgg Fürth,VfR Kaiserslautern,6:1 (2:0) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Wacker 04 Berlin,1. FC Nürnberg,2:6 (0:3) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Concordia Hamburg,Borussia Dortmund,4:3 (2:2) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Blau-Weiß 90 Berlin,Eintracht Trier,0:1 (0:1) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,VfB Mühlburg,Preußen Münster,"5:3 (2:1, 2:2) n.V."
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,Alemannia Aachen,TSV Essen-West 81,5:2 (3:2) 
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,SSV Reutlingen,Wormatia Worms,"4:5 (1:1, 4:4) n.V."
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,VfL Osnabrück,SV Phönix 03,"2:2 (2:1, 2:2) n.V."
0,17.08.1952,DFB-Pokal 1952/1953 » 1. Runde,VfL Osnabrück,SV Phönix 03,"2:2 (2:1, 2:2) n.V."
0,05.10.1952,DFB-Pokal 1952/1953 » 1. Runde,SV Phönix 03,VfL Osnabrück,0:2 (0:0) 
0,,weltfussball.de,Aktuelle Meldungen »,VfL Osnabrück,0:2 (0:0) 
0,05.10.1952,DFB-Pokal 1952/1953 » Achtelfinale,Waldhof Mannheim,SpVgg Fürth,5:2 (2:2) 
0,05.10.1952,DFB-Pokal 1952/1953 » Achtelfinale,Concordia Hamburg,VfB Mühlburg,4:3 (2:3) 
0,05.10.1952,DFB-Pokal 1952/1953 » Achtelfinale,Preußen Dellbrück,Kickers Offenbach,"2:3 (0:2, 2:2) n.V."
0,05.10.1952,DFB-Pokal 1952/1953 » Achtelfinale,Wormatia Worms,Eintracht Trier,4:1 (1:1) 
0,05.10.1952,DFB-Pokal 1952/1953 » Achtelfinale,Alemannia Aachen,1. FC Nürnberg,"3:3 (0:0, 2:2) n.V."
0,09.11.1952,DFB-Pokal 1952/1953 » Achtelfinale,SF Hamborn 07,FC St. Pauli,"1:1 (1:1, 1:1) n.V."
0,19.11.1952,DFB-Pokal 1952/1953 » Achtelfinale,Hamburger SV,Borussia Neunkirchen,2:0 (2:0) 
0,19.11.1952,DFB-Pokal 1952/1953 » Achtelfinale,Rot-Weiss Essen,VfL Osnabrück,2:0 (1:0) 
0,19.11.1952,DFB-Pokal 1952/1953 » Achtelfinale,Rot-Weiss Essen,VfL Osnabrück,2:0 (1:0) 
0,09.11.1952,DFB-Pokal 1952/1953 » Achtelfinale,1. FC Nürnberg,Alemannia Aachen,0:2 (0:1) 
0,26.12.1952,DFB-Pokal 1952/1953 » Achtelfinale,FC St. Pauli,SF Hamborn 07,3:4 (1:2) 
0,01.02.1953,DFB-Pokal 1952/1953 » Viertelfinale,Rot-Weiss Essen,Hamburger SV,6:1 (2:0) 
0,01.02.1953,DFB-Pokal 1952/1953 » Viertelfinale,Kickers Offenbach,Wormatia Worms,1:2 (0:0) 
0,01.02.1953,DFB-Pokal 1952/1953 » Viertelfinale,Waldhof Mannheim,Concordia Hamburg,2:1 (0:1) 
0,01.03.1953,DFB-Pokal 1952/1953 » Viertelfinale,Alemannia Aachen,SF Hamborn 07,3:1 (3:1) 
0,08.03.1953,DFB-Pokal 1952/1953 » Halbfinale,Rot-Weiss Essen,Waldhof Mannheim,3:2 (1:1) 
0,08.03.1953,DFB-Pokal 1952/1953 » Halbfinale,Alemannia Aachen,Wormatia Worms,3:1 (1:1) 
0,01.05.1953,DFB-Pokal 1952/1953 » Finale,Rot-Weiss Essen,Alemannia Aachen,2:1 (1:0) 
0,,weltfussball.de,Aktuelle Meldungen »,Alemannia Aachen,2:1 (1:0) 
0,,weltfussball.de,Aktuelle Meldungen »,Alemannia Aachen,2:1 (1:0) 
0,,weltfussball.de,Aktuelle Meldungen »,Alemannia Aachen,2:1 (1:0) 
0,01.08.1953,DFB-Pokal 1953/1954 » Viertelfinale,1. FC Kaiserslautern,Hamburger SV,2:3 (0:1) 
0,01.08.1953,DFB-Pokal 1953/1954 » Viertelfinale,1. FC Köln,FC Viktoria 1889,3:2 (0:1) 
0,02.08.1953,DFB-Pokal 1953/1954 » Viertelfinale,SV 09 Bergisch Gladbach,VfB Stuttgart,"1:1 (0:0, 0:0) n.V."
0,02.08.1953,DFB-Pokal 1953/1954 » Viertelfinale,TuS Neuendorf,1. FC Nürnberg,2:1 (2:0) 
0,02.08.1953,DFB-Pokal 1953/1954 » Viertelfinale,TuS Neuendorf,1. FC Nürnberg,2:1 (2:0) 
0,16.08.1953,DFB-Pokal 1953/1954 » Viertelfinale,VfB Stuttgart,SV 09 Bergisch Gladbach,6:0 (3:0) 
0,13.12.1953,DFB-Pokal 1953/1954 » Halbfinale,Hamburger SV,1. FC Köln,"1:3 (0:0, 1:1) n.V."
0,13.12.1953,DFB-Pokal 1953/1954 » Halbfinale,VfB Stuttgart,TuS Neuendorf,"2:2 (1:1, 1:1) n.V."
0,13.12.1953,DFB-Pokal 1953/1954 » Halbfinale,VfB Stuttgart,TuS Neuendorf,"2:2 (1:1, 1:1) n.V."
0,24.03.1954,DFB-Pokal 1953/1954 » Halbfinale,TuS Neuendorf,VfB Stuttgart,0:2 (0:1) 
0,17.04.1954,DFB-Pokal 1953/1954 » Finale,VfB Stuttgart,1. FC Köln,"1:0 (0:0, 0:0) n.V."
0,02.08.1954,DFB-Pokal 1954/1955 » 1. Runde,SG Düren 99,1. FC Kaiserslautern,2:5 (0:2) 
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,Kickers Offenbach,Hannover 96,6:3 (2:2) 
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,VfB Stuttgart,Arminia Hannover,4:2 (0:1) 
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,Hamburger SV,Eintracht Trier,"5:3 (2:1, 3:3) n.V."
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,1. FC Nürnberg,TSV Marl-Hüls,2:0 (2:0) 
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,Frankfurter SG Eintracht,FK Pirmasens,1:0 (1:0) 
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,Karlsruher SC,FSV Frankfurt,5:1 (4:0) 
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,TuS Bremerhaven 93,SpVgg Erkenschwick,5:1 (2:0) 
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,Altona 93,1. FC Saarbrücken,3:2 (2:1) 
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,1. FC Köln,STV Horst Emscher,2:1 (0:1) 
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,TeBe Berlin,1. FC Schweinfurt 05,2:4 (0:0) 
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,Union Krefeld,Eintracht Braunschweig,4:0 (2:0) 
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,SV Phönix 03,Alemannia Aachen,"0:0 (0:0, 0:0) n.V."
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,Tura Ludwigshafen,FC St. Pauli,0:1 (0:1) 
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,Spandauer SV,VfB Lübeck,"1:2 (0:0, 1:1) n.V."
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,SSV Jahn Regensburg,FC Schalke 04,"1:1 (0:0, 1:1) n.V."
0,15.08.1954,DFB-Pokal 1954/1955 » 1. Runde,SSV Jahn Regensburg,FC Schalke 04,"1:1 (0:0, 1:1) n.V."
0,01.09.1954,DFB-Pokal 1954/1955 » 1. Runde,FC Schalke 04,SSV Jahn Regensburg,6:4 (3:4) 
0,15.09.1954,DFB-Pokal 1954/1955 » 1. Runde,Alemannia Aachen,SV Phönix 03,4:0 (1:0) 
0,,weltfussball.de,Aktuelle Meldungen »,SV Phönix 03,4:0 (1:0) 
0,21.09.1954,DFB-Pokal 1954/1955 » Achtelfinale,1. FC Kaiserslautern,1. FC Köln,7:0 (4:0) 
0,25.09.1954,DFB-Pokal 1954/1955 » Achtelfinale,Karlsruher SC,1. FC Nürnberg,1:0 (0:0) 
0,26.09.1954,DFB-Pokal 1954/1955 » Achtelfinale,FC Schalke 04,1. FC Schweinfurt 05,"1:1 (1:0, 1:1) n.V."
0,26.09.1954,DFB-Pokal 1954/1955 » Achtelfinale,VfB Stuttgart,VfB Lübeck,5:1 (0:1) 
0,26.09.1954,DFB-Pokal 1954/1955 » Achtelfinale,Altona 93,Frankfurter SG Eintracht,2:1 (1:0) 
0,26.09.1954,DFB-Pokal 1954/1955 » Achtelfinale,Alemannia Aachen,Union Krefeld,"4:2 (2:0, 2:2) n.V."
0,26.09.1954,DFB-Pokal 1954/1955 » Achtelfinale,Kickers Offenbach,FC St. Pauli,2:0 (0:0) 
0,19.12.1954,DFB-Pokal 1954/1955 » Achtelfinale,TuS Bremerhaven 93,Hamburger SV,3:1 (1:0) 
0,19.12.1954,DFB-Pokal 1954/1955 » Achtelfinale,TuS Bremerhaven 93,Hamburger SV,3:1 (1:0) 
0,17.10.1954,DFB-Pokal 1954/1955 » Achtelfinale,1. FC Schweinfurt 05,FC Schalke 04,0:1 (0:0) 
0,27.11.1954,DFB-Pokal 1954/1955 » Viertelfinale,VfB Stuttgart,Karlsruher SC,2:5 (1:4) 
0,19.12.1954,DFB-Pokal 1954/1955 » Viertelfinale,Altona 93,Alemannia Aachen,2:0 (0:0) 
0,02.01.1955,DFB-Pokal 1954/1955 » Viertelfinale,Kickers Offenbach,1. FC Kaiserslautern,4:1 (2:0) 
0,02.01.1955,DFB-Pokal 1954/1955 » Viertelfinale,FC Schalke 04,TuS Bremerhaven 93,2:0 (0:0) 
0,07.04.1955,DFB-Pokal 1954/1955 » Halbfinale,FC Schalke 04,Kickers Offenbach,2:1 (1:1) 
0,20.04.1955,DFB-Pokal 1954/1955 » Halbfinale,Altona 93,Karlsruher SC,"3:3 (2:0, 3:3) n.V."
0,20.04.1955,DFB-Pokal 1954/1955 » Halbfinale,Altona 93,Karlsruher SC,"3:3 (2:0, 3:3) n.V."
0,08.05.1955,DFB-Pokal 1954/1955 » Halbfinale,Karlsruher SC,Altona 93,3:0 (0:0) 
0,21.05.1955,DFB-Pokal 1954/1955 » Finale,Karlsruher SC,FC Schalke 04,3:2 (1:1) 
0,,weltfussball.de,Aktuelle Meldungen »,FC Schalke 04,3:2 (1:1) 
0,,weltfussball.de,Aktuelle Meldungen »,FC Schalke 04,3:2 (1:1) 
0,,weltfussball.de,Aktuelle Meldungen »,FC Schalke 04,3:2 (1:1) 
0,,weltfussball.de,Aktuelle Meldungen »,FC Schalke 04,3:2 (1:1) 
0,05.05.1956,DFB-Pokal 1955/1956 » Halbfinale,Fortuna Düsseldorf,Hamburger SV,1:2 (0:1) 
0,06.05.1956,DFB-Pokal 1955/1956 » Halbfinale,FK Pirmasens,Karlsruher SC,1:5 (0:2) 
0,05.08.1956,DFB-Pokal 1955/1956 » Finale,Karlsruher SC,Hamburger SV,3:1 (1:1) 
0,,weltfussball.de,Aktuelle Meldungen »,Hamburger SV,3:1 (1:1) 
0,,weltfussball.de,Aktuelle Meldungen »,Hamburger SV,3:1 (1:1) 
0,,weltfussball.de,Aktuelle Meldungen »,Hamburger SV,3:1 (1:1) 
0,,weltfussball.de,Aktuelle Meldungen »,Hamburger SV,3:1 (1:1) 
0,17.11.1957,DFB-Pokal 1956/1957 » Halbfinale,Bayern München,1. FC Saarbrücken,"3:1 (0:1, 1:1) n.V."
0,24.11.1957,DFB-Pokal 1956/1957 » Halbfinale,Fortuna Düsseldorf,Hamburger SV,1:0 (1:0) 
0,29.12.1957,DFB-Pokal 1956/1957 » Finale,Bayern München,Fortuna Düsseldorf,1:0 (0:0) 
0,,weltfussball.de,Aktuelle Meldungen »,Fortuna Düsseldorf,1:0 (0:0) 
0,,weltfussball.de,Aktuelle Meldungen »,Fortuna Düsseldorf,1:0 (0:0) 
0,,weltfussball.de,Aktuelle Meldungen »,Fortuna Düsseldorf,1:0 (0:0) 
0,,weltfussball.de,Aktuelle Meldungen »,Fortuna Düsseldorf,1:0 (0:0) 
0,21.09.1958,DFB-Pokal 1957/1958 » Halbfinale,1. FC Saarbrücken,VfB Stuttgart,1:4 (0:1) 
0,26.10.1958,DFB-Pokal 1957/1958 » Halbfinale,Tasmania 1900 Berlin,Fortuna Düsseldorf,1:2 (1:2) 
0,16.11.1958,DFB-Pokal 1957/1958 » Finale,VfB Stuttgart,Fortuna Düsseldorf,"4:3 (1:0, 3:3) n.V."
0,,weltfussball.de,Aktuelle Meldungen »,Fortuna Düsseldorf,"4:3 (1:0, 3:3) n.V."
0,,weltfussball.de,Aktuelle Meldungen »,Fortuna Düsseldorf,"4:3 (1:0, 3:3) n.V."
0,,weltfussball.de,Aktuelle Meldungen »,Fortuna Düsseldorf,"4:3 (1:0, 3:3) n.V."
0,,weltfussball.de,Aktuelle Meldungen »,Fortuna Düsseldorf,"4:3 (1:0, 3:3) n.V."
0,03.10.1959,DFB-Pokal 1958/1959 » Halbfinale,Borussia Neunkirchen,VfR Mannheim,2:1 (0:1) 
0,12.12.1959,DFB-Pokal 1958/1959 » Halbfinale,Hamburger SV,Schwarz-Weiß Essen,"1:2 (0:0, 1:1) n.V."
0,27.12.1959,DFB-Pokal 1958/1959 » Finale,Schwarz-Weiß Essen,Borussia Neunkirchen,5:2 (1:0) 
0,,weltfussball.de,Aktuelle Meldungen »,Borussia Neunkirchen,5:2 (1:0) 
0,,weltfussball.de,Aktuelle Meldungen »,Borussia Neunkirchen,5:2 (1:0) 
0,,weltfussball.de,Aktuelle Meldungen »,Borussia Neunkirchen,5:2 (1:0) 
0,,weltfussball.de,Aktuelle Meldungen »,Borussia Neunkirchen,5:2 (1:0) 
0,07.09.1960,DFB-Pokal 1959/1960 » Halbfinale,Borussia VfL M.-Gladbach,Hamburger SV,2:0 (1:0) 
0,21.09.1960,DFB-Pokal 1959/1960 » Halbfinale,Karlsruher SC,FK Pirmasens,2:0 (2:0) 
0,05.10.1960,DFB-Pokal 1959/1960 » Finale,Borussia VfL M.-Gladbach,Karlsruher SC,3:2 (2:1) 
